model_size,precision,backend,sequence_name,sequence_length,reference_shape,output_shape,mean_cosine,min_cosine,mean_pool_l2,mean_cosine_threshold,min_cosine_threshold,mean_pool_l2_threshold,passed,error
300m,f16,metal,small_A0A0B4J200,16,"[16, 960]","[16, 960]",0.999999463558197,0.9999983310699463,0.0004256489628460258,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A0C4DH62,17,"[17, 960]","[17, 960]",0.9999993443489075,0.9999980926513672,0.0004887459799647331,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A0C5B5G6,16,"[16, 960]","[16, 960]",0.9999992847442627,0.9999974966049194,0.0004905572859570384,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A0J9YWP8,16,"[16, 960]","[16, 960]",0.9999992251396179,0.9999971389770508,0.0004855683073401451,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A0J9YWX3,17,"[17, 960]","[17, 960]",0.9999989867210388,0.9999938011169434,0.0006590512930415571,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A0J9YX06,15,"[15, 960]","[15, 960]",0.9999992251396179,0.9999973177909851,0.0005384195828810334,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A0J9YXA8,15,"[15, 960]","[15, 960]",0.9999992847442627,0.9999969005584717,0.0005296230665408075,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A0J9YXG5,16,"[16, 960]","[16, 960]",0.9999995231628418,0.9999983310699463,0.00042835238855332136,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A0J9YXM7,16,"[16, 960]","[16, 960]",0.9999992847442627,0.9999963045120239,0.000509997655171901,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A1B0GTB2,48,"[48, 960]","[48, 960]",0.9999995231628418,0.9999991655349731,0.00036124687176197767,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A1B0GWH6,25,"[25, 960]","[25, 960]",0.9999995231628418,0.9999985098838806,0.000491580693051219,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A3G1DIU6,26,"[26, 960]","[26, 960]",0.9999991655349731,0.9999966621398926,0.00046356336679309607,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A3G1DJK2,26,"[26, 960]","[26, 960]",0.9999996423721313,0.9999988079071045,0.00039118315908126533,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A3G1DJL1,24,"[24, 960]","[24, 960]",0.9999995827674866,0.9999991059303284,0.00043759302934631705,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A3G1DJL7,24,"[24, 960]","[24, 960]",0.9999995827674866,0.9999991655349731,0.00039636483415961266,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A3G1DJN1,20,"[20, 960]","[20, 960]",0.9999990463256836,0.9999893307685852,0.00044892876758240163,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A3G1DJQ2,38,"[38, 960]","[38, 960]",0.9999995827674866,0.9999986886978149,0.00041091907769441605,0.999,0.99,0.05,True,
300m,f16,metal,small_A1L3X4,49,"[49, 960]","[49, 960]",0.9999995231628418,0.9999986290931702,0.00047030660789459944,0.999,0.99,0.05,True,
300m,f16,metal,small_C0HLU2,46,"[46, 960]","[46, 960]",0.9999994039535522,0.9999976754188538,0.0003853277303278446,0.999,0.99,0.05,True,
300m,f16,metal,small_C0HLV8,31,"[31, 960]","[31, 960]",0.9999996423721313,0.9999992251396179,0.00038607080932706594,0.999,0.99,0.05,True,
300m,f16,metal,small_C0HM02,26,"[26, 960]","[26, 960]",0.9999996423721313,0.9999985098838806,0.00041100048110820353,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A024RBG1,181,"[181, 960]","[181, 960]",0.9999995231628418,0.9999950528144836,0.00033306601108051836,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6H7,116,"[116, 960]","[116, 960]",0.9999997615814209,0.9999991655349731,0.0003977309097535908,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6H8,117,"[117, 960]","[117, 960]",0.9999995231628418,0.9999916553497314,0.00039919494884088635,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6H9,119,"[119, 960]","[119, 960]",0.9999996423721313,0.9999951720237732,0.00039590272353962064,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6I0,122,"[122, 960]","[122, 960]",0.9999997615814209,0.9999987483024597,0.0003782124549616128,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6I1,120,"[120, 960]","[120, 960]",0.9999997615814209,0.9999986290931702,0.0004403454950079322,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6I3,123,"[123, 960]","[123, 960]",0.9999997019767761,0.9999960064888,0.00037693194462917745,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6I4,117,"[117, 960]","[117, 960]",0.9999997019767761,0.9999982714653015,0.0004419257747940719,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6I6,118,"[118, 960]","[118, 960]",0.9999997615814209,0.999997615814209,0.0003948700032196939,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6I7,105,"[105, 960]","[105, 960]",0.9999997019767761,0.9999989867210388,0.00037617087946273386,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6I9,117,"[117, 960]","[117, 960]",0.9999995827674866,0.9999954700469971,0.00039732016739435494,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6J1,123,"[123, 960]","[123, 960]",0.9999997019767761,0.9999977350234985,0.00036901867133565247,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6J2,118,"[118, 960]","[118, 960]",0.9999997615814209,0.9999985694885254,0.00035001273499801755,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6J6,115,"[115, 960]","[115, 960]",0.9999997615814209,0.9999985098838806,0.00035520255914889276,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6J9,118,"[118, 960]","[118, 960]",0.9999997019767761,0.9999971985816956,0.00037697344669140875,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6K0,115,"[115, 960]","[115, 960]",0.9999997615814209,0.9999983310699463,0.0004015830927528441,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6K2,115,"[115, 960]","[115, 960]",0.9999996423721313,0.9999987483024597,0.00041630881605669856,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6K4,115,"[115, 960]","[115, 960]",0.9999997615814209,0.9999968409538269,0.00040973781142383814,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6K5,115,"[115, 960]","[115, 960]",0.9999997615814209,0.9999987483024597,0.00039246235974133015,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6K6,122,"[122, 960]","[122, 960]",0.9999996423721313,0.9999974966049194,0.00040863282629288733,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6L2,119,"[119, 960]","[119, 960]",0.9999996423721313,0.9999976754188538,0.00037394536775536835,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6L6,115,"[115, 960]","[115, 960]",0.9999997615814209,0.9999986290931702,0.0003473064280115068,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6N1,114,"[114, 960]","[114, 960]",0.9999996423721313,0.9999983906745911,0.000308683083858341,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6N2,111,"[111, 960]","[111, 960]",0.9999997019767761,0.9999984502792358,0.0003644195676315576,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6N3,115,"[115, 960]","[115, 960]",0.999999463558197,0.9999951720237732,0.00033641589106991887,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6N4,114,"[114, 960]","[114, 960]",0.9999995827674866,0.9999982118606567,0.00036016880767419934,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6P5,120,"[120, 960]","[120, 960]",0.9999996423721313,0.9999980926513672,0.0003956011205445975,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6Q5,118,"[118, 960]","[118, 960]",0.9999997019767761,0.999997079372406,0.00036581227323040366,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6R0,118,"[118, 960]","[118, 960]",0.9999995827674866,0.9999977350234985,0.0003818799741566181,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6R2,117,"[117, 960]","[117, 960]",0.9999997019767761,0.999996542930603,0.00038945069536566734,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6R9,120,"[120, 960]","[120, 960]",0.9999995827674866,0.9999967813491821,0.0004320104490034282,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6S2,120,"[120, 960]","[120, 960]",0.9999996423721313,0.999998152256012,0.0004067699774168432,0.999,0.99,0.05,True,
300m,f16,metal,medium_A0A075B6S4,117,"[117, 960]","[117, 960]",0.9999997615814209,0.9999980926513672,0.00042105847387574613,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A087WUV0,522,"[522, 960]","[522, 960]",0.9999996423721313,0.9999988079071045,0.0004205317236483097,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A087WVF3,549,"[549, 960]","[549, 960]",0.9999995827674866,0.9999975562095642,0.000352745468262583,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A087WXS9,549,"[549, 960]","[549, 960]",0.9999995827674866,0.9999977946281433,0.00034626820706762373,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A087X179,549,"[549, 960]","[549, 960]",0.9999995827674866,0.9999977946281433,0.0003431324730627239,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A087X1C5,515,"[515, 960]","[515, 960]",0.9999995231628418,0.9999974966049194,0.0003508212976157665,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A087X1G2,549,"[549, 960]","[549, 960]",0.9999995827674866,0.9999974370002747,0.0003434577665757388,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A096LP49,1063,"[1063, 960]","[1063, 960]",0.9999995231628418,0.9999976754188538,0.0003601481148507446,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A0A6YYL3,544,"[544, 960]","[544, 960]",0.9999996423721313,0.9999979138374329,0.00038377795135602355,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A0J9YWL9,993,"[993, 960]","[993, 960]",0.9999997615814209,0.9999982714653015,0.00039230307447724044,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A0J9YX94,578,"[578, 960]","[578, 960]",0.9999997615814209,0.9999985098838806,0.0003797309473156929,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A0J9YXQ4,647,"[647, 960]","[647, 960]",0.9999998211860657,0.9999967813491821,0.00035540430690161884,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A0J9YXV3,536,"[536, 960]","[536, 960]",0.9999995231628418,0.9999979138374329,0.0004310809599701315,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A0J9YY54,714,"[714, 960]","[714, 960]",0.9999997615814209,0.9999967813491821,0.00036840708344243467,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A0U1RQI7,1052,"[1052, 960]","[1052, 960]",0.9999997615814209,0.9999988675117493,0.0004140028031542897,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A1B0GTH6,734,"[734, 960]","[734, 960]",0.9999996423721313,0.9999971389770508,0.00036891663330607116,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A1B0GTU1,805,"[805, 960]","[805, 960]",0.9999997019767761,0.9999979734420776,0.0004091724695172161,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A1B0GTW7,788,"[788, 960]","[788, 960]",0.9999995231628418,0.9999905228614807,0.0003496270510368049,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A1B0GUU1,675,"[675, 960]","[675, 960]",0.9999996423721313,0.9999940395355225,0.0003533921844791621,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A1B0GUW6,1196,"[1196, 960]","[1196, 960]",0.9999995827674866,0.9999985694885254,0.00036381118115969,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A1B0GV03,622,"[622, 960]","[622, 960]",0.9999997019767761,0.9999980926513672,0.0004028429393656552,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A1B0GV85,526,"[526, 960]","[526, 960]",0.9999996423721313,0.9999964833259583,0.00036418871604837477,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A1B0GVH7,501,"[501, 960]","[501, 960]",0.9999996423721313,0.9999979734420776,0.0003370565827935934,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A1B0GWI6,518,"[518, 960]","[518, 960]",0.9999997615814209,0.9999979734420776,0.00035917319473810494,0.999,0.99,0.05,True,
300m,f16,metal,large_A0A1W2PPD8,638,"[638, 960]","[638, 960]",0.9999996423721313,0.9999955296516418,0.00032021422521211207,0.999,0.99,0.05,True,
300m,f16,metal,large_A0AUZ9,987,"[987, 960]","[987, 960]",0.9999996423721313,0.9999967813491821,0.0003595347225200385,0.999,0.99,0.05,True,
300m,f16,metal,large_A0AV02,714,"[714, 960]","[714, 960]",0.9999996423721313,0.9999987483024597,0.00029743873164989054,0.999,0.99,0.05,True,
300m,f16,metal,large_A0AV96,593,"[593, 960]","[593, 960]",0.9999995827674866,0.9999984502792358,0.00037121662171557546,0.999,0.99,0.05,True,
300m,f16,metal,large_A0AVF1,554,"[554, 960]","[554, 960]",0.9999995827674866,0.9999983906745911,0.00039987609488889575,0.999,0.99,0.05,True,
300m,f16,metal,large_A0AVK6,867,"[867, 960]","[867, 960]",0.9999997019767761,0.9999977946281433,0.0003606798127293587,0.999,0.99,0.05,True,
300m,f16,metal,large_A0AVT1,1052,"[1052, 960]","[1052, 960]",0.9999995231628418,0.9999962449073792,0.00033908270415849984,0.999,0.99,0.05,True,
300m,f16,metal,large_A0FGR8,921,"[921, 960]","[921, 960]",0.9999995827674866,0.9999945759773254,0.00033979033469222486,0.999,0.99,0.05,True,
300m,f16,metal,large_A0FGR9,886,"[886, 960]","[886, 960]",0.9999995827674866,0.999994158744812,0.00032798535539768636,0.999,0.99,0.05,True,
300m,f16,metal,large_A0JNW5,1464,"[1464, 960]","[1464, 960]",0.9999996423721313,0.9999957084655762,0.0003267251595389098,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A075B6S0,16,"[16, 960]","[16, 960]",0.9999125599861145,0.9998130202293396,0.008355962112545967,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A075B6Y3,20,"[20, 960]","[20, 960]",0.9998594522476196,0.9995763897895813,0.009026657789945602,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A075B6Y9,20,"[20, 960]","[20, 960]",0.99989253282547,0.999586284160614,0.008260841481387615,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A075B700,18,"[18, 960]","[18, 960]",0.9999182224273682,0.9995928406715393,0.007453276310116053,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A075B706,16,"[16, 960]","[16, 960]",0.9999209642410278,0.999578058719635,0.006638381164520979,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0A0MT70,17,"[17, 960]","[17, 960]",0.9999234676361084,0.9998567700386047,0.008294389583170414,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0A0MT76,42,"[42, 960]","[42, 960]",0.9999039173126221,0.9997648596763611,0.007981003262102604,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0A0MT78,15,"[15, 960]","[15, 960]",0.9998928308486938,0.9996522068977356,0.007618297357112169,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0A0MT87,16,"[16, 960]","[16, 960]",0.9999061822891235,0.9998217821121216,0.008032700978219509,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0A0MT89,12,"[12, 960]","[12, 960]",0.9999153017997742,0.9997965097427368,0.007807083427906036,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0A0MT94,16,"[16, 960]","[16, 960]",0.9999242424964905,0.9998282790184021,0.0073728542774915695,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0A0MTA4,15,"[15, 960]","[15, 960]",0.9998933672904968,0.9994524717330933,0.008117461577057838,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0A0MTA7,16,"[16, 960]","[16, 960]",0.9998947978019714,0.9997467398643494,0.008032364770770073,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0B4J200,16,"[16, 960]","[16, 960]",0.9999150633811951,0.9995259046554565,0.007053041364997625,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0C4DH62,17,"[17, 960]","[17, 960]",0.9998026490211487,0.9991243481636047,0.009435762651264668,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0C5B5G6,16,"[16, 960]","[16, 960]",0.9998916387557983,0.9997368454933167,0.008201733231544495,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0J9YWP8,16,"[16, 960]","[16, 960]",0.9998998641967773,0.9997650980949402,0.008136732503771782,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0J9YWX3,17,"[17, 960]","[17, 960]",0.9998423457145691,0.9991979002952576,0.008554798550903797,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0J9YX06,15,"[15, 960]","[15, 960]",0.9998779296875,0.9994240999221802,0.00906555075198412,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0J9YXA8,15,"[15, 960]","[15, 960]",0.9999016523361206,0.9997133612632751,0.008495435118675232,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0J9YXG5,16,"[16, 960]","[16, 960]",0.9999146461486816,0.999790608882904,0.007452085148543119,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A0J9YXM7,16,"[16, 960]","[16, 960]",0.9997473955154419,0.9987298250198364,0.011302070692181587,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A1B0GTB2,48,"[48, 960]","[48, 960]",0.9998829960823059,0.9998024702072144,0.008859774097800255,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A1B0GWH6,25,"[25, 960]","[25, 960]",0.9998746514320374,0.9997364282608032,0.008055604994297028,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A3G1DIU6,26,"[26, 960]","[26, 960]",0.9998922348022461,0.9996536374092102,0.008070822805166245,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A3G1DJK2,26,"[26, 960]","[26, 960]",0.999923825263977,0.9997642636299133,0.007062854710966349,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A3G1DJL1,24,"[24, 960]","[24, 960]",0.9999067187309265,0.9998295903205872,0.008288150653243065,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A3G1DJL7,24,"[24, 960]","[24, 960]",0.9999006390571594,0.9997873902320862,0.008212976157665253,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A3G1DJN1,20,"[20, 960]","[20, 960]",0.9999178647994995,0.9996156692504883,0.007198727689683437,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A0A3G1DJQ2,38,"[38, 960]","[38, 960]",0.9999051094055176,0.9998615384101868,0.008279113098978996,0.999,0.99,0.05,True,
300m,q8_0,metal,small_A1L3X4,49,"[49, 960]","[49, 960]",0.9998812079429626,0.9997846484184265,0.009979570284485817,0.999,0.99,0.05,True,
300m,q8_0,metal,small_C0HLU2,46,"[46, 960]","[46, 960]",0.9998359084129333,0.9992988705635071,0.008824103511869907,0.999,0.99,0.05,True,
300m,q8_0,metal,small_C0HLV8,31,"[31, 960]","[31, 960]",0.999894917011261,0.9998078346252441,0.00802775751799345,0.999,0.99,0.05,True,
300m,q8_0,metal,small_C0HM02,26,"[26, 960]","[26, 960]",0.9999018311500549,0.9996574521064758,0.009224709123373032,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A024RBG1,181,"[181, 960]","[181, 960]",0.9999029040336609,0.9995874762535095,0.007637911010533571,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6H7,116,"[116, 960]","[116, 960]",0.9999217391014099,0.9998104572296143,0.008765860460698605,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6H8,117,"[117, 960]","[117, 960]",0.9999181032180786,0.9997075200080872,0.008000325411558151,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6H9,119,"[119, 960]","[119, 960]",0.9999154806137085,0.9997221827507019,0.00941478181630373,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6I0,122,"[122, 960]","[122, 960]",0.99991774559021,0.9998403787612915,0.009363637305796146,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6I1,120,"[120, 960]","[120, 960]",0.9999174475669861,0.9997837543487549,0.009627660736441612,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6I3,123,"[123, 960]","[123, 960]",0.9999184012413025,0.9997596144676208,0.008476254530251026,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6I4,117,"[117, 960]","[117, 960]",0.9999154806137085,0.9996994733810425,0.009471507743000984,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6I6,118,"[118, 960]","[118, 960]",0.9999266266822815,0.9998593330383301,0.008653443306684494,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6I7,105,"[105, 960]","[105, 960]",0.9999068379402161,0.999802827835083,0.00951209757477045,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6I9,117,"[117, 960]","[117, 960]",0.999919056892395,0.9997632503509521,0.008833150379359722,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6J1,123,"[123, 960]","[123, 960]",0.9999209642410278,0.9998499751091003,0.009225632064044476,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6J2,118,"[118, 960]","[118, 960]",0.9999134540557861,0.9996135234832764,0.008525408804416656,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6J6,115,"[115, 960]","[115, 960]",0.999911904335022,0.9998241066932678,0.008782505989074707,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6J9,118,"[118, 960]","[118, 960]",0.9999254941940308,0.9998409152030945,0.008824506774544716,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6K0,115,"[115, 960]","[115, 960]",0.9999183416366577,0.9998385310173035,0.009371694177389145,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6K2,115,"[115, 960]","[115, 960]",0.9999149441719055,0.9997855424880981,0.008984117768704891,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6K4,115,"[115, 960]","[115, 960]",0.9999181628227234,0.9998237490653992,0.009296221658587456,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6K5,115,"[115, 960]","[115, 960]",0.9999166131019592,0.9998274445533752,0.008917823433876038,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6K6,122,"[122, 960]","[122, 960]",0.999904990196228,0.9994676113128662,0.009079158306121826,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6L2,119,"[119, 960]","[119, 960]",0.9998925924301147,0.9997207522392273,0.009463033638894558,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6L6,115,"[115, 960]","[115, 960]",0.9999186396598816,0.9996920228004456,0.007079676724970341,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6N1,114,"[114, 960]","[114, 960]",0.9999141097068787,0.9996992945671082,0.007672597654163837,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6N2,111,"[111, 960]","[111, 960]",0.9999210238456726,0.9998446702957153,0.008402924053370953,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6N3,115,"[115, 960]","[115, 960]",0.9998859763145447,0.9984372854232788,0.007787787821143866,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6N4,114,"[114, 960]","[114, 960]",0.9999085664749146,0.999767541885376,0.007783657871186733,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6P5,120,"[120, 960]","[120, 960]",0.999916672706604,0.9997227191925049,0.008728384971618652,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6Q5,118,"[118, 960]","[118, 960]",0.9999116659164429,0.9997312426567078,0.008444409817457199,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6R0,118,"[118, 960]","[118, 960]",0.9999118447303772,0.9997544288635254,0.00796536821871996,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6R2,117,"[117, 960]","[117, 960]",0.9999201893806458,0.9998327493667603,0.00862165354192257,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6R9,120,"[120, 960]","[120, 960]",0.9999150633811951,0.9997188448905945,0.008165370672941208,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6S2,120,"[120, 960]","[120, 960]",0.9999170899391174,0.9997384548187256,0.008782366290688515,0.999,0.99,0.05,True,
300m,q8_0,metal,medium_A0A075B6S4,117,"[117, 960]","[117, 960]",0.9999176263809204,0.9998138546943665,0.00878344476222992,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A087WUV0,522,"[522, 960]","[522, 960]",0.999915361404419,0.999808132648468,0.008615833707153797,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A087WVF3,549,"[549, 960]","[549, 960]",0.9999096989631653,0.9993942379951477,0.007967118173837662,0.999,0.99,0.05,True,
300m,q8_0,metal,large_A0A087WXS9,549,"[549, 960]","[549, 960]",0.999909520149231,0.999392569065094,0.007991221733391285,0.999,0.99,0.05,True,
