model_size,precision,backend,sequence_name,sequence_length,reference_shape,output_shape,mean_cosine,min_cosine,mean_pool_l2,mean_cosine_threshold,min_cosine_threshold,mean_pool_l2_threshold,passed,error
300m,f16,cpu,small_A0A0J9YXM7,16,"[16, 960]","[16, 960]",0.9999731779098511,0.999823808670044,0.0022988019045442343,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A1B0GTB2,48,"[48, 960]","[48, 960]",0.9999825358390808,0.9999259114265442,0.001527105225250125,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A1B0GWH6,25,"[25, 960]","[25, 960]",0.999980628490448,0.9999521374702454,0.001975101185962558,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A3G1DIU6,26,"[26, 960]","[26, 960]",0.9999813437461853,0.9999299645423889,0.0020370595157146454,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A3G1DJK2,26,"[26, 960]","[26, 960]",0.9999865293502808,0.9999656677246094,0.0020933637861162424,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A3G1DJL1,24,"[24, 960]","[24, 960]",0.9999871253967285,0.9999772906303406,0.0017309627728536725,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A3G1DJL7,24,"[24, 960]","[24, 960]",0.9999866485595703,0.9999580979347229,0.001802473096176982,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A3G1DJN1,20,"[20, 960]","[20, 960]",0.999980628490448,0.9999416470527649,0.002391246845945716,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A3G1DJQ2,38,"[38, 960]","[38, 960]",0.9999856352806091,0.9999735951423645,0.0014074991922825575,0.999,0.99,0.05,True,
300m,f16,cpu,small_A1L3X4,49,"[49, 960]","[49, 960]",0.9999829530715942,0.9999631643295288,0.0013150096638128161,0.999,0.99,0.05,True,
300m,f16,cpu,small_C0HLU2,46,"[46, 960]","[46, 960]",0.9999710321426392,0.9997105598449707,0.0018900868017226458,0.999,0.99,0.05,True,
300m,f16,cpu,small_C0HLV8,31,"[31, 960]","[31, 960]",0.999983012676239,0.9999648928642273,0.0019114806782454252,0.999,0.99,0.05,True,
300m,f16,cpu,small_C0HM02,26,"[26, 960]","[26, 960]",0.9999865293502808,0.9999627470970154,0.0015743320109322667,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A024RBG1,181,"[181, 960]","[181, 960]",0.9999858140945435,0.9999231696128845,0.0008168028434738517,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6H7,116,"[116, 960]","[116, 960]",0.9999881386756897,0.9999510049819946,0.0009706783457659185,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6H8,117,"[117, 960]","[117, 960]",0.999987006187439,0.9999517798423767,0.0008445128914900124,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6H9,119,"[119, 960]","[119, 960]",0.9999882578849792,0.9999418258666992,0.0008248649537563324,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6I0,122,"[122, 960]","[122, 960]",0.999986469745636,0.9999597668647766,0.0013377105351537466,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6I1,120,"[120, 960]","[120, 960]",0.9999874234199524,0.9999114871025085,0.0008777816547080874,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6I3,123,"[123, 960]","[123, 960]",0.9999882578849792,0.999970555305481,0.0008014576160348952,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6I4,117,"[117, 960]","[117, 960]",0.999988853931427,0.9999775886535645,0.0008653727127239108,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6I6,118,"[118, 960]","[118, 960]",0.9999893307685852,0.9999702572822571,0.0008633503457531333,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6I7,105,"[105, 960]","[105, 960]",0.9999867081642151,0.9999451041221619,0.0010569130536168814,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6I9,117,"[117, 960]","[117, 960]",0.9999879598617554,0.9999614357948303,0.0009378628456033766,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6J1,123,"[123, 960]","[123, 960]",0.9999873638153076,0.999951183795929,0.0008837066707201302,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6J2,118,"[118, 960]","[118, 960]",0.9999879598617554,0.9999597072601318,0.0008515901863574982,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6J6,115,"[115, 960]","[115, 960]",0.9999877214431763,0.9999608993530273,0.0009654630557633936,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6J9,118,"[118, 960]","[118, 960]",0.9999880790710449,0.9998972415924072,0.0008568881312385201,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6K0,115,"[115, 960]","[115, 960]",0.9999868869781494,0.999823272228241,0.000857542734593153,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6K2,115,"[115, 960]","[115, 960]",0.9999870657920837,0.9999474287033081,0.001005321042612195,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6K4,115,"[115, 960]","[115, 960]",0.9999889135360718,0.9999712109565735,0.0009344872087240219,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6K5,115,"[115, 960]","[115, 960]",0.9999884963035583,0.999954879283905,0.0010007674572989345,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6K6,122,"[122, 960]","[122, 960]",0.9999871850013733,0.9999701976776123,0.0008802993106655777,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6L2,119,"[119, 960]","[119, 960]",0.999986469745636,0.9999457001686096,0.0008989453781396151,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6L6,115,"[115, 960]","[115, 960]",0.9999856948852539,0.9999001622200012,0.0008699722238816321,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6N1,114,"[114, 960]","[114, 960]",0.9999858736991882,0.9999403357505798,0.0011131236096844077,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6N2,111,"[111, 960]","[111, 960]",0.9999877214431763,0.9999465346336365,0.0009445760515518486,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6N3,115,"[115, 960]","[115, 960]",0.9999854564666748,0.9999477863311768,0.0008839232614263892,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6N4,114,"[114, 960]","[114, 960]",0.9999860525131226,0.9999542236328125,0.0009617922478355467,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6P5,120,"[120, 960]","[120, 960]",0.9999875426292419,0.9999482035636902,0.0009364538709633052,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6Q5,118,"[118, 960]","[118, 960]",0.9999861717224121,0.9999170899391174,0.0008955962839536369,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6R0,118,"[118, 960]","[118, 960]",0.9999856352806091,0.9998862147331238,0.0009527912479825318,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6R2,117,"[117, 960]","[117, 960]",0.9999881386756897,0.9999664425849915,0.0007865848601795733,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6R9,120,"[120, 960]","[120, 960]",0.9999844431877136,0.9997614026069641,0.0010197799419984221,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6S2,120,"[120, 960]","[120, 960]",0.9999880194664001,0.9999505877494812,0.0008050043252296746,0.999,0.99,0.05,True,
300m,f16,cpu,medium_A0A075B6S4,117,"[117, 960]","[117, 960]",0.9999879002571106,0.9999664425849915,0.0008404936525039375,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A087WUV0,522,"[522, 960]","[522, 960]",0.9999862313270569,0.9998319745063782,0.0005269231041893363,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A087WVF3,549,"[549, 960]","[549, 960]",0.9999864101409912,0.9999401569366455,0.0004946383996866643,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A087WXS9,549,"[549, 960]","[549, 960]",0.9999864101409912,0.9998794794082642,0.0005553819355554879,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A087X179,549,"[549, 960]","[549, 960]",0.9999861121177673,0.9999005198478699,0.0005460582906380296,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A087X1C5,515,"[515, 960]","[515, 960]",0.9999848008155823,0.999913215637207,0.0006251510349102318,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A087X1G2,549,"[549, 960]","[549, 960]",0.9999859929084778,0.9999101758003235,0.0004898111801594496,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A096LP49,1063,"[1063, 960]","[1063, 960]",0.9999871253967285,0.9999383687973022,0.0004241990973241627,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A0A6YYL3,544,"[544, 960]","[544, 960]",0.9999879002571106,0.999958336353302,0.0005374740576371551,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A0J9YWL9,993,"[993, 960]","[993, 960]",0.9999872446060181,0.9999448657035828,0.000428351282607764,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A0J9YX94,578,"[578, 960]","[578, 960]",0.9999879598617554,0.9999629855155945,0.000493989500682801,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A0J9YXQ4,647,"[647, 960]","[647, 960]",0.9999886751174927,0.9999167323112488,0.0004963024985045195,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A0J9YXV3,536,"[536, 960]","[536, 960]",0.9999865889549255,0.9999480247497559,0.0004897541366517544,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A0J9YY54,714,"[714, 960]","[714, 960]",0.999987781047821,0.9999635815620422,0.00043781381100416183,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A0U1RQI7,1052,"[1052, 960]","[1052, 960]",0.9999873638153076,0.9999474287033081,0.00048680268810130656,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A1B0GTH6,734,"[734, 960]","[734, 960]",0.9999846816062927,0.9999169111251831,0.000516744505148381,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A1B0GTU1,805,"[805, 960]","[805, 960]",0.9999868273735046,0.9999499320983887,0.00042798841604962945,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A1B0GTW7,788,"[788, 960]","[788, 960]",0.9999842047691345,0.9999229311943054,0.0005706819356419146,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A1B0GUU1,675,"[675, 960]","[675, 960]",0.9999876022338867,0.999932050704956,0.0004569469310808927,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A1B0GUW6,1196,"[1196, 960]","[1196, 960]",0.9999875426292419,0.9999442100524902,0.0004075968754477799,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A1B0GV03,622,"[622, 960]","[622, 960]",0.9999877214431763,0.9999662637710571,0.0005034631467424333,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A1B0GV85,526,"[526, 960]","[526, 960]",0.9999856352806091,0.9999166131019592,0.0004502363735809922,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A1B0GVH7,501,"[501, 960]","[501, 960]",0.9999868869781494,0.999882161617279,0.0005005178391002119,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A1B0GWI6,518,"[518, 960]","[518, 960]",0.9999874830245972,0.9999598264694214,0.0004860087647102773,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0A1W2PPD8,638,"[638, 960]","[638, 960]",0.9999868869781494,0.9998767375946045,0.0004724784230347723,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0AUZ9,987,"[987, 960]","[987, 960]",0.9999845027923584,0.9999130368232727,0.00047096540220081806,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0AV02,714,"[714, 960]","[714, 960]",0.9999848008155823,0.9999441504478455,0.0004564108094200492,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0AV96,593,"[593, 960]","[593, 960]",0.9999866485595703,0.9999158978462219,0.00048704975051805377,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0AVF1,554,"[554, 960]","[554, 960]",0.9999874234199524,0.9999256134033203,0.0004700383578892797,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0AVK6,867,"[867, 960]","[867, 960]",0.9999870657920837,0.9999376535415649,0.00044676396646536887,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0AVT1,1052,"[1052, 960]","[1052, 960]",0.9999852776527405,0.9999046325683594,0.00040181982330977917,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0FGR8,921,"[921, 960]","[921, 960]",0.9999842643737793,0.9999011754989624,0.0004449851403478533,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0FGR9,886,"[886, 960]","[886, 960]",0.99998539686203,0.999905526638031,0.0003858293639495969,0.999,0.99,0.05,True,
300m,f16,cpu,large_A0JNW5,1464,"[1464, 960]","[1464, 960]",0.9999856352806091,0.9998089671134949,0.00034325962769798934,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A075B6S0,16,"[16, 960]","[16, 960]",0.9997320175170898,0.9991741180419922,0.010918710380792618,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A075B6Y3,20,"[20, 960]","[20, 960]",0.9995139837265015,0.998339831829071,0.013481548987329006,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A075B6Y9,20,"[20, 960]","[20, 960]",0.9996669888496399,0.9988428354263306,0.011396899819374084,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A075B700,18,"[18, 960]","[18, 960]",0.999648928642273,0.9981709122657776,0.010984995402395725,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A075B706,16,"[16, 960]","[16, 960]",0.9996902942657471,0.9985159039497375,0.009873298928141594,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0A0MT70,17,"[17, 960]","[17, 960]",0.9997866153717041,0.9995833039283752,0.010763561353087425,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0A0MT76,42,"[42, 960]","[42, 960]",0.9997116327285767,0.9988788366317749,0.00953581277281046,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0A0MT78,15,"[15, 960]","[15, 960]",0.9996738433837891,0.9990779161453247,0.011875606141984463,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0A0MT87,16,"[16, 960]","[16, 960]",0.9996016025543213,0.9989141225814819,0.012767832726240158,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0A0MT89,12,"[12, 960]","[12, 960]",0.9995524883270264,0.9990767240524292,0.014957930892705917,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0A0MT94,16,"[16, 960]","[16, 960]",0.9997663497924805,0.9995387196540833,0.010689507238566875,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0A0MTA4,15,"[15, 960]","[15, 960]",0.999446451663971,0.9982987642288208,0.014864528551697731,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0A0MTA7,16,"[16, 960]","[16, 960]",0.999670147895813,0.9988803267478943,0.011892270296812057,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0B4J200,16,"[16, 960]","[16, 960]",0.9996722340583801,0.9984078407287598,0.010484499856829643,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0C4DH62,17,"[17, 960]","[17, 960]",0.9996938109397888,0.9992894530296326,0.010585781186819077,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0C5B5G6,16,"[16, 960]","[16, 960]",0.9996651411056519,0.9993265271186829,0.01190278958529234,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0J9YWP8,16,"[16, 960]","[16, 960]",0.999666690826416,0.9988355040550232,0.010616942308843136,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0J9YWX3,17,"[17, 960]","[17, 960]",0.9995921850204468,0.9982138276100159,0.010476743802428246,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0J9YX06,15,"[15, 960]","[15, 960]",0.9996954798698425,0.999035656452179,0.011324435472488403,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0J9YXA8,15,"[15, 960]","[15, 960]",0.9995952844619751,0.9980088472366333,0.012704488821327686,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0J9YXG5,16,"[16, 960]","[16, 960]",0.9996117353439331,0.9987593293190002,0.011885764077305794,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A0J9YXM7,16,"[16, 960]","[16, 960]",0.9993833899497986,0.996986448764801,0.016377370804548264,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A1B0GTB2,48,"[48, 960]","[48, 960]",0.9996749758720398,0.9993367791175842,0.010314214043319225,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A1B0GWH6,25,"[25, 960]","[25, 960]",0.9996126294136047,0.9989555478096008,0.010212299413979053,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A3G1DIU6,26,"[26, 960]","[26, 960]",0.9997230172157288,0.999248743057251,0.009444576688110828,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A3G1DJK2,26,"[26, 960]","[26, 960]",0.9997729063034058,0.99924635887146,0.008674439042806625,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A3G1DJL1,24,"[24, 960]","[24, 960]",0.9997454285621643,0.9993516802787781,0.01070327591150999,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A3G1DJL7,24,"[24, 960]","[24, 960]",0.9997419714927673,0.9993425607681274,0.009864564053714275,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A3G1DJN1,20,"[20, 960]","[20, 960]",0.9997099041938782,0.9988041520118713,0.010057040490210056,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A0A3G1DJQ2,38,"[38, 960]","[38, 960]",0.9997178912162781,0.9993877410888672,0.010177076794207096,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_A1L3X4,49,"[49, 960]","[49, 960]",0.9996576905250549,0.9992147088050842,0.011091111227869987,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_C0HLU2,46,"[46, 960]","[46, 960]",0.999518871307373,0.9978275895118713,0.011050918139517307,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_C0HLV8,31,"[31, 960]","[31, 960]",0.9997113347053528,0.9993908405303955,0.009966801851987839,0.999,0.99,0.05,True,
300m,q8_0,cpu,small_C0HM02,26,"[26, 960]","[26, 960]",0.9997320771217346,0.9990434646606445,0.01036356296390295,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A024RBG1,181,"[181, 960]","[181, 960]",0.9997011423110962,0.997655987739563,0.008044148795306683,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6H7,116,"[116, 960]","[116, 960]",0.99976646900177,0.9989683628082275,0.00946719665080309,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6H8,117,"[117, 960]","[117, 960]",0.9997298121452332,0.9987635016441345,0.008827040903270245,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6H9,119,"[119, 960]","[119, 960]",0.9997603893280029,0.9988144636154175,0.009028916247189045,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6I0,122,"[122, 960]","[122, 960]",0.9997789263725281,0.9995195865631104,0.009672272950410843,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6I1,120,"[120, 960]","[120, 960]",0.9997806549072266,0.9994713664054871,0.010123085230588913,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6I3,123,"[123, 960]","[123, 960]",0.999753475189209,0.9993762373924255,0.009009834378957748,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6I4,117,"[117, 960]","[117, 960]",0.9997690320014954,0.999348521232605,0.009969835169613361,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6I6,118,"[118, 960]","[118, 960]",0.9997811913490295,0.9990617036819458,0.009527069516479969,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6I7,105,"[105, 960]","[105, 960]",0.9997574687004089,0.9991730451583862,0.009354671463370323,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6I9,117,"[117, 960]","[117, 960]",0.9997685551643372,0.99916672706604,0.009416112676262856,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6J1,123,"[123, 960]","[123, 960]",0.9997736811637878,0.9991587996482849,0.010017111897468567,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6J2,118,"[118, 960]","[118, 960]",0.9997618198394775,0.9991956949234009,0.009063326753675938,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6J6,115,"[115, 960]","[115, 960]",0.999761700630188,0.9989919066429138,0.009110490791499615,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6J9,118,"[118, 960]","[118, 960]",0.9997541308403015,0.9975860118865967,0.009438596665859222,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6K0,115,"[115, 960]","[115, 960]",0.9997484087944031,0.9976810812950134,0.009679630398750305,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6K2,115,"[115, 960]","[115, 960]",0.9997458457946777,0.9992480874061584,0.009630631655454636,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6K4,115,"[115, 960]","[115, 960]",0.9997636675834656,0.9988178610801697,0.009502070024609566,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6K5,115,"[115, 960]","[115, 960]",0.9997358918190002,0.9991790652275085,0.00990346074104309,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6K6,122,"[122, 960]","[122, 960]",0.9997410774230957,0.9992225170135498,0.009882754646241665,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6L2,119,"[119, 960]","[119, 960]",0.9997334480285645,0.9994150400161743,0.009328478947281837,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6L6,115,"[115, 960]","[115, 960]",0.9997439980506897,0.9991110563278198,0.007840161211788654,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6N1,114,"[114, 960]","[114, 960]",0.9997459053993225,0.9991381764411926,0.00841175951063633,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6N2,111,"[111, 960]","[111, 960]",0.9997715353965759,0.9995155930519104,0.00914628617465496,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6N3,115,"[115, 960]","[115, 960]",0.9996457099914551,0.9942692518234253,0.008651942014694214,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6N4,114,"[114, 960]","[114, 960]",0.9997155666351318,0.9992786645889282,0.00912247970700264,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6P5,120,"[120, 960]","[120, 960]",0.9997565746307373,0.9983997344970703,0.008587433025240898,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6Q5,118,"[118, 960]","[118, 960]",0.9997015595436096,0.9979264736175537,0.009046467952430248,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6R0,118,"[118, 960]","[118, 960]",0.9997486472129822,0.999069094657898,0.008432824164628983,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6R2,117,"[117, 960]","[117, 960]",0.999764621257782,0.9990038871765137,0.00858655571937561,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6R9,120,"[120, 960]","[120, 960]",0.9997552037239075,0.9991959929466248,0.009705178439617157,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6S2,120,"[120, 960]","[120, 960]",0.999759316444397,0.9991964101791382,0.009589636698365211,0.999,0.99,0.05,True,
300m,q8_0,cpu,medium_A0A075B6S4,117,"[117, 960]","[117, 960]",0.9997787475585938,0.9995961785316467,0.009027822874486446,0.999,0.99,0.05,True,
300m,q8_0,cpu,large_A0A087WUV0,522,"[522, 960]","[522, 960]",0.9997361898422241,0.9988473653793335,0.008536599576473236,0.999,0.99,0.05,True,
